area,bedrooms,bathrooms,stories,guestroom,basement,hotwater,aircond,parking,prefarea,furnish,price
7420,4,2,3,0,0,0,1,2,1,1,1330000
8960,4,4,4,0,0,0,1,3,0,1,1225000
9960,3,2,2,0,1,0,0,2,1,1,1225000
7500,4,2,2,0,1,0,1,3,1,1,1221500
7420,4,1,2,1,1,0,1,2,0,1,1141000
7500,3,3,1,0,1,0,1,2,1,1,1085000
8580,4,3,4,0,0,0,1,2,1,1,1015000
16200,5,3,2,0,0,0,0,0,0,0,1015000
8100,4,1,2,1,1,0,1,2,1,1,987000
5750,3,2,4,1,0,0,1,1,1,0,980000
13200,3,1,2,0,1,0,1,2,1,1,980000
6000,4,3,2,1,1,1,0,2,0,1,968100
6550,4,2,2,0,0,0,1,1,1,1,931000
3500,4,2,2,0,0,1,0,2,0,1,924000
7800,3,2,2,0,0,0,0,0,1,1,924000
6000,4,1,2,0,1,0,0,2,0,1,910000
6600,4,2,2,1,1,0,1,1,1,0,910000
8500,3,2,4,0,0,0,1,2,0,1,896000
4600,3,2,2,1,0,0,1,2,0,1,889000
6420,3,2,2,0,0,0,1,1,1,1,885500
4320,3,1,2,0,1,1,0,2,0,1,875000
7155,3,2,1,1,1,0,1,2,0,0,868000
8050,3,1,1,1,1,0,1,1,0,1,864500
4560,3,2,2,1,1,0,1,1,0,1,864500
8800,3,2,2,0,0,0,1,2,0,1,857500
6540,4,2,2,1,1,0,1,2,1,1,854000
6000,3,2,4,1,1,0,1,0,1,1,846300
8875,3,1,1,0,0,0,0,1,0,1,840000
7950,5,2,2,0,1,1,0,2,0,0,840000
5500,4,2,2,0,1,0,1,1,1,1,840000
7475,3,2,4,0,0,0,1,2,0,0,840000
7000,3,1,4,0,0,0,1,2,0,1,840000
4880,4,2,2,0,0,0,1,1,1,1,829500
5960,3,3,2,1,1,0,0,1,0,0,819000
6840,5,1,2,1,1,0,1,1,0,1,812000
7000,3,2,4,0,0,0,1,2,0,1,808094
7482,3,2,3,0,0,1,0,1,1,1,804300
9000,4,2,4,0,0,0,1,2,0,1,798000
6000,3,1,4,1,0,0,1,2,0,0,796250
6000,4,2,4,0,0,0,1,1,0,1,791000
6550,3,1,2,0,1,0,1,0,1,1,787500
6360,3,2,4,0,0,0,1,0,1,1,784000
6480,3,2,4,0,0,0,1,2,0,0,770000
6000,4,2,4,0,0,0,0,2,0,1,770000
6000,4,2,4,0,0,0,1,1,0,1,756000
6000,3,2,3,0,0,0,1,0,0,1,756000
6000,3,2,4,0,0,0,1,1,0,1,752500
6600,3,1,4,0,0,0,1,3,1,1,749000
